Name,Team,College,Salary
Devyn Marble,Orlando Magic,Iowa,845059.0
Dewayne Dedmon,Orlando Magic,USC,947276.0
Shabazz Napier,Orlando Magic,Connecticut,1294440.0
Andrew Nicholson,Orlando Magic,St. Bonaventure,2380593.0
Elfrid Payton,Orlando Magic,Louisiana-Lafayette,2505720.0
Aaron Gordon,Orlando Magic,Arizona,4171680.0
Jason Smith,Orlando Magic,Colorado State,4300000.0
Sean Kilpatrick,Brooklyn Nets,Cincinnati,134215.0
Markel Brown,Brooklyn Nets,Oklahoma State,845059.0
Henry Sims,Brooklyn Nets,Georgetown,947276.0
Donald Sloan,Brooklyn Nets,Texas A&M,947276.0
Willie Reed,Brooklyn Nets,Saint Louis,947276.0
Thomas Robinson,Brooklyn Nets,Kansas,981348.0
Chris McCullough,Brooklyn Nets,Syracuse,1140240.0
Rondae Hollis-Jefferson,Brooklyn Nets,Arizona,1335480.0
Shane Larkin,Brooklyn Nets,Miami (FL),1500000.0
Wayne Ellington,Brooklyn Nets,North Carolina,1500000.0
Luis Montero,Portland Trail Blazers,Westchester CC,525093.0
Cliff Alexander,Portland Trail Blazers,Kansas,525093.0
Pat Connaughton,Portland Trail Blazers,Notre Dame,625093.0
Allen Crabbe,Portland Trail Blazers,California,947276.0
Mason Plumlee,Portland Trail Blazers,Duke,1415520.0
C.J. McCollum,Portland Trail Blazers,Lehigh,2525160.0
Noah Vonleh,Portland Trail Blazers,Indiana,2637720.0
Brian Roberts,Portland Trail Blazers,Dayton,2854940.0
Maurice Harkless,Portland Trail Blazers,St. John's,2894059.0
Meyers Leonard,Portland Trail Blazers,Illinois,3075880.0
Damian Lillard,Portland Trail Blazers,Weber State,4236287.0
Ty Lawson,Indiana Pacers,North Carolina,211744.0
Shayne Whittington,Indiana Pacers,Western Michigan,845059.0
Rakeem Christmas,Indiana Pacers,Syracuse,1007026.0
Joe Young,Indiana Pacers,Oregon,1007026.0
Glenn Robinson III,Indiana Pacers,Michigan,1100000.0
Solomon Hill,Indiana Pacers,Arizona,1358880.0
Myles Turner,Indiana Pacers,Texas,2357760.0
Jordan Hill,Indiana Pacers,Arizona,4000000.0
Lavoy Allen,Indiana Pacers,Temple,4050000.0
Marcus Thornton,Washington Wizards,LSU,200600.0
JJ Hickson,Washington Wizards,North Carolina State,273038.0
Jarell Eddie,Washington Wizards,Virginia Tech,561716.0
Garrett Temple,Washington Wizards,LSU,1100602.0
Kelly Oubre Jr.,Washington Wizards,Kansas,1920240.0
Ramon Sessions,Washington Wizards,Nevada,2170465.0
Drew Gooden,Washington Wizards,Kansas,3300000.0
Alan Anderson,Washington Wizards,Michigan State,4000000.0
Jared Dudley,Washington Wizards,Boston College,4375000.0
R.J. Hunter,Boston Celtics,Georgia State,1148640.0
Jordan Mickey,Boston Celtics,LSU,1170960.0
James Young,Boston Celtics,Kentucky,1749840.0
Terry Rozier,Boston Celtics,Louisville,1824360.0
Kelly Olynyk,Boston Celtics,Gonzaga,2165160.0
Jared Sullinger,Boston Celtics,Ohio State,2569260.0
Tyler Zeller,Boston Celtics,North Carolina,2616975.0
Evan Turner,Boston Celtics,Ohio State,3425510.0
Marcus Smart,Boston Celtics,Oklahoma State,3431040.0
Kevin Martin,San Antonio Spurs,Western Carolina,200600.0
Andre Miller,San Antonio Spurs,Utah,250750.0
Jonathon Simmons,San Antonio Spurs,Houston,525093.0
Matt Bonner,San Antonio Spurs,Florida,947276.0
Kyle Anderson,San Antonio Spurs,UCLA,1142880.0
David West,San Antonio Spurs,Xavier,1499187.0
Patty Mills,San Antonio Spurs,Saint Mary's,3578947.0
Andrew Goudelock,Houston Rockets,Charleston,200600.0
Michael Beasley,Houston Rockets,Kansas State,306527.0
Jason Terry,Houston Rockets,Arizona,947276.0
Montrezl Harrell,Houston Rockets,Louisville,1000000.0
Sam Dekker,Houston Rockets,Wisconsin,1646400.0
Terrence Jones,Houston Rockets,Kentucky,2489530.0
K.J. McDaniels,Houston Rockets,Clemson,3189794.0
Phil Pressey,Phoenix Suns,Missouri,55722.0
Alan Williams,Phoenix Suns,UC Santa Barbara,83397.0
Chase Budinger,Phoenix Suns,Arizona,206192.0
Ronnie Price,Phoenix Suns,Utah Valley,947276.0
John Jenkins,Phoenix Suns,Vanderbilt,981348.0
Jon Leuer,Phoenix Suns,Wisconsin,1035000.0
Archie Goodwin,Phoenix Suns,Kentucky,1160160.0
T.J. Warren,Phoenix Suns,North Carolina State,2041080.0
Devin Booker,Phoenix Suns,Kentucky,2127840.0
Alex Len,Phoenix Suns,Maryland,3807120.0
Christian Wood,Philadelphia 76ers,UNLV,525093.0
T.J. McConnell,Philadelphia 76ers,Arizona,525093.0
Jerami Grant,Philadelphia 76ers,Syracuse,845059.0
Hollis Thompson,Philadelphia 76ers,Georgetown,947276.0
Isaiah Canaan,Philadelphia 76ers,Murray State,947276.0
Ish Smith,Philadelphia 76ers,Wake Forest,947276.0
Robert Covington,Philadelphia 76ers,Tennessee State,1000000.0
Richaun Holmes,Philadelphia 76ers,Bowling Green,1074169.0
Kendall Marshall,Philadelphia 76ers,North Carolina,2144772.0
Nik Stauskas,Philadelphia 76ers,Michigan,2869440.0
Nerlens Noel,Philadelphia 76ers,Kentucky,3457800.0
Jahlil Okafor,Philadelphia 76ers,Duke,4582680.0
Jordan McRae,Cleveland Cavaliers,Tennessee,111196.0
James Jones,Cleveland Cavaliers,Miami (FL),947276.0
Richard Jefferson,Cleveland Cavaliers,Arizona,947276.0
Matthew Dellavedova,Cleveland Cavaliers,Saint Mary's,1147276.0
Sasha Kaun,Cleveland Cavaliers,Kansas,1276000.0
Mo Williams,Cleveland Cavaliers,Alabama,2100000.0
Steve Novak,Milwaukee Bucks,Marquette,295327.0
Johnny O'Bryant III,Milwaukee Bucks,LSU,845059.0
Jared Cunningham,Milwaukee Bucks,Oregon State,947276.0
Tyler Ennis,Milwaukee Bucks,Syracuse,1662360.0
Rashad Vaughn,Milwaukee Bucks,UNLV,1733040.0
Miles Plumlee,Milwaukee Bucks,Duke,2109294.0
Michael Carter-Williams,Milwaukee Bucks,Syracuse,2399040.0
John Henson,Milwaukee Bucks,North Carolina,2943221.0
Jerryd Bayless,Milwaukee Bucks,Arizona,3000000.0
Nazr Mohammed,Oklahoma City Thunder,Kentucky,222888.0
Josh Huestis,Oklahoma City Thunder,Stanford,1140240.0
Andre Roberson,Oklahoma City Thunder,Colorado,1210800.0
Mitch McGary,Oklahoma City Thunder,Michigan,1463040.0
Cameron Payne,Oklahoma City Thunder,Murray State,2021520.0
Steven Adams,Oklahoma City Thunder,Pittsburgh,2279040.0
Randy Foye,Oklahoma City Thunder,Villanova,3135000.0
Anthony Morrow,Oklahoma City Thunder,Georgia Tech,3344000.0
Nick Collison,Oklahoma City Thunder,Kansas,3750000.0
Kyle Singler,Oklahoma City Thunder,Duke,4500000.0
Duje Dukan,Sacramento Kings,Wisconsin,525093.0
Eric Moreland,Sacramento Kings,Oregon State,845059.0
Seth Curry,Sacramento Kings,Duke,947276.0
Quincy Acy,Sacramento Kings,Baylor,981348.0
James Anderson,Sacramento Kings,Oklahoma State,1015421.0
Caron Butler,Sacramento Kings,Connecticut,1449187.0
Ben McLemore,Sacramento Kings,Kansas,3156600.0
Willie Cauley-Stein,Sacramento Kings,Kentucky,3398280.0
James Michael McAdoo,Golden State Warriors,North Carolina,845059.0
Ian Clark,Golden State Warriors,Belmont,947276.0
Kevon Looney,Golden State Warriors,UCLA,1131960.0
Brandon Rush,Golden State Warriors,Kansas,1270964.0
Festus Ezeli,Golden State Warriors,Vanderbilt,2008748.0
Marreese Speights,Golden State Warriors,Florida,3815000.0
Harrison Barnes,Golden State Warriors,North Carolina,3873398.0
Tayshaun Prince,Minnesota Timberwolves,Kentucky,947276.0
Tyus Jones,Minnesota Timberwolves,Duke,1282080.0
Gorgui Dieng,Minnesota Timberwolves,Louisville,1474440.0
Adreian Payne,Minnesota Timberwolves,Michigan State,1938840.0
Shabazz Muhammad,Minnesota Timberwolves,UCLA,2056920.0
Zach LaVine,Minnesota Timberwolves,UCLA,2148360.0
Tony Wroten,New York Knicks,Washington,167406.0
Langston Galloway,New York Knicks,Saint Joseph's,845059.0
Cleanthony Early,New York Knicks,Wichita State,845059.0
Jerian Grant,New York Knicks,Notre Dame,1572360.0
Lou Amundson,New York Knicks,UNLV,1635476.0
Lance Thomas,New York Knicks,Duke,1636842.0
Kyle O'Quinn,New York Knicks,Norfolk State,3750000.0
Derrick Williams,New York Knicks,Arizona,4000000.0
Anthony Brown,Los Angeles Lakers,Stanford,700000.0
