Platform,Year,Genre,Publisher,NA_Sales
0,2006,0,0,4149
1,1985,1,0,2908
0,2008,2,0,1585
0,2009,0,0,1575
2,1996,3,0,1127
2,1989,4,0,2320
3,2006,1,0,1138
0,2006,5,0,1403
0,2009,1,0,1459
1,1984,6,0,2693
3,2005,7,0,907
3,2005,2,0,981
2,1999,3,0,900
0,2007,0,0,894
0,2009,0,0,909
4,2010,5,1,1497
5,2013,8,2,701
6,2004,8,2,943
7,1990,1,0,1278
3,2005,5,0,475
3,2006,3,0,642
2,1989,1,0,1083
1,1988,1,0,953
4,2013,8,2,963
6,2002,8,2,841
8,2002,3,0,606
3,2010,3,0,557
3,2005,4,0,344
6,2001,2,3,685
4,2011,6,4,902
2,1998,3,0,589
4,2010,6,4,967
9,2013,3,0,517
10,2015,6,4,577
5,2012,6,4,499
4,2012,6,4,825
4,2009,6,4,852
5,2011,6,4,554
6,2001,8,2,699
0,2008,9,0,675
5,2010,6,4,598
3,2005,7,0,254
9,2011,2,0,474
4,2007,6,1,797
10,2014,8,2,380
3,2009,8,0,440
11,1996,1,0,691
6,2004,2,3,301
0,2007,1,0,616
9,2014,3,0,423
2,1992,10,0,616
4,2008,8,2,676
12,1997,2,3,401
9,2011,1,0,488
5,2010,2,3,296
5,2009,6,4,499
5,2008,8,2,476
7,1993,1,0,599
8,2004,3,0,434
3,2004,1,0,508
0,2011,5,5,605
4,2013,6,4,672
4,2010,6,1,703
11,1996,2,0,555
9,2012,1,0,366
4,2012,6,1,663
12,1997,3,3,301
5,2013,6,4,409
0,2010,5,5,584
12,1999,2,3,388
4,2007,6,4,591
7,1994,1,0,436
4,2013,5,1,558
9,2012,7,0,200
3,2007,5,0,446
4,2011,3,6,503
7,1992,2,0,354
10,2015,0,7,111
0,2010,5,0,179
13,2004,6,1,682
0,2007,5,0,381
3,2012,3,0,291
5,2012,8,7,106
14,2009,7,7,98
11,1997,6,0,580
0,2007,0,8,258
6,2001,3,3,291
12,1999,3,9,227
3,2008,3,0,282
15,1982,4,10,728
16,2005,8,2,290
0,2010,1,0,366
10,2015,6,7,293
10,2014,6,4,280
11,1998,8,0,409
12,1997,1,3,378
1,1988,1,0,539
9,2014,9,0,324
4,2008,6,4,479
4,2011,6,7,446
0,2006,8,0,383
17,2015,6,4,451
0,2009,5,5,351
5,2011,6,7,285
6,2003,2,7,327
12,1998,9,3,327
12,1998,1,3,368
18,2001,9,0,441
19,2014,2,0,313
10,2015,3,6,247
18,2003,2,0,412
0,2012,5,5,413
5,2013,0,7,78
6,2004,2,7,271
6,2002,6,7,293
5,2011,8,3,277
12,1996,1,3,323
0,2010,0,11,350
4,2008,6,1,415
5,2009,8,3,327
5,2007,6,4,310
5,2011,0,7,84
3,2005,5,0,167
5,2010,8,2,279
10,2014,0,7,79
0,2010,1,0,325
5,2011,3,6,254
1,1986,8,0,374
5,2012,8,5,264
13,2001,6,1,498
8,2004,3,0,257
6,2002,3,3,364
2,2000,3,0,254
4,2009,6,1,434
4,2010,8,2,370
18,2002,1,0,401
7,1992,9,12,247
14,2004,3,4,7
12,1999,8,13,311
4,2010,0,1,392
4,2011,6,1,405
4,2006,6,1,354
6,2001,8,14,245
20,1992,1,8,447
5,2008,8,14,263
12,1998,8,14,318
5,2013,8,15,241
6,2006,3,16,188
5,2008,1,3,280
3,2009,3,0,66
0,2007,8,17,366
12,1998,8,18,188
12,1996,9,3,225
3,2006,7,11,313
10,2014,6,4,249
1,1988,4,0,297
5,2009,8,5,254
11,1999,9,0,295
4,2007,10,5,328
5,2011,8,19,270
4,2009,2,1,299
16,2008,3,12,47
8,2001,1,0,314
8,2001,2,0,262
8,2001,1,0,321
11,1999,11,0,318
5,2008,6,4,272
6,2001,1,20,206
5,2014,5,3,197
5,2009,3,16,174
2,1989,4,0,218
2,1999,5,0,302
4,2012,8,5,313
12,2000,3,9,162
6,2003,3,7,192
11,1999,1,0,333
4,2009,8,5,310
3,2007,4,0,122
12,1997,8,21,229
6,2006,0,7,426
6,2004,3,16,65
14,2012,3,4,243
8,2003,1,0,293
19,2012,1,0,231
2,1994,1,0,249
4,2012,8,7,108
3,2007,8,0,190
7,1995,1,0,210
9,2013,7,0,96
3,2008,0,8,164
6,2003,6,7,198
2,1992,1,0,271
4,2010,3,1,359
17,2014,6,4,321
14,1996,7,1,322
6,2006,5,22,381
5,2009,8,12,196
17,2014,8,2,266
16,2006,8,2,170
5,2010,0,7,60
2,1999,1,0,340
12,1996,8,18,204
12,1999,0,4,342
19,2014,9,0,259
12,1999,11,21,279
12,1998,1,3,336
0,2007,6,0,306
6,2007,5,4,349
4,2008,3,6,339
3,2007,3,0,185
5,2007,8,3,231
6,2005,0,7,398
3,2007,8,17,289
11,1997,2,0,291
16,2010,3,12,26
1,1990,4,0,262
5,2010,8,3,274
14,2010,11,4,256
5,2007,10,5,191
5,2014,0,7,56
12,1999,2,3,257
10,2016,0,7,28
4,2011,8,19,299
12,2000,8,10,236
6,2003,2,23,173
12,2000,0,4,305
0,2008,7,0,187
6,2002,8,7,194
4,2011,2,1,208
12,1996,8,21,229
0,2007,5,4,306
7,1991,8,0,242
18,2002,8,0,260
0,2009,0,8,189
9,2013,8,0,178
19,2015,6,0,155
10,2014,8,3,178
4,2007,5,4,319
6,2004,0,7,418
15,1981,1,4,421
6,2006,0,7,363
6,2002,8,4,271
12,2000,3,24,20
10,2015,8,3,196
5,2014,6,4,154
6,2005,8,3,271
19,2012,5,0,254
0,2010,5,5,267
6,2001,0,4,266
6,2006,0,14,10
4,2006,3,2,282
1,1987,10,0,219
6,2005,2,7,202
5,2006,6,3,173
20,1991,1,8,303
6,2005,3,16,220
4,2013,0,7,92
4,2014,6,4,275
15,1980,6,10,400
4,2008,3,1,250
17,2015,6,1,264
19,2013,1,0,211
5,2009,8,21,223
5,2011,8,5,141
8,2001,5,25,300
6,2004,8,14,146
16,2006,1,3,245
14,1995,11,4,170
9,2011,8,0,202
6,2005,0,7,78
6,2003,5,3,88
10,2016,6,3,130
5,2007,2,3,128
4,2011,8,5,225
5,2009,9,12,202
4,2011,0,7,84
1,1989,8,26,338
1,1984,2,0,204
12,1997,8,27,379
6,2002,0,7,336
10,2014,8,5,140
14,1997,6,23,403
7,1995,1,0,165
6,2006,0,7,71
0,2011,8,0,214
7,1992,9,12,142
0,2007,5,2,213
17,2015,3,6,245
14,2007,3,4,257
4,2010,3,6,265
6,2007,8,3,231
4,2007,2,1,235
6,2005,0,14,12
12,1996,5,3,227
6,2000,9,25,168
10,2014,6,5,112
11,1997,6,0,278
10,2014,5,15,138
1,1984,0,0,122
