Platform,Year,Genre,Publisher,NA_Sales
Wii,2006.0,Sports,Nintendo,41.49
NES,1985.0,Platform,Nintendo,29.08
Wii,2008.0,Racing,Nintendo,15.85
Wii,2009.0,Sports,Nintendo,15.75
GB,1996.0,Role-Playing,Nintendo,11.27
GB,1989.0,Puzzle,Nintendo,23.2
DS,2006.0,Platform,Nintendo,11.38
Wii,2006.0,Misc,Nintendo,14.03
Wii,2009.0,Platform,Nintendo,14.59
NES,1984.0,Shooter,Nintendo,26.93
DS,2005.0,Simulation,Nintendo,9.07
DS,2005.0,Racing,Nintendo,9.81
GB,1999.0,Role-Playing,Nintendo,9.0
Wii,2007.0,Sports,Nintendo,8.94
Wii,2009.0,Sports,Nintendo,9.09
X360,2010.0,Misc,Microsoft Game Studios,14.97
PS3,2013.0,Action,Take-Two Interactive,7.01
PS2,2004.0,Action,Take-Two Interactive,9.43
SNES,1990.0,Platform,Nintendo,12.78
DS,2005.0,Misc,Nintendo,4.75
DS,2006.0,Role-Playing,Nintendo,6.42
GB,1989.0,Platform,Nintendo,10.83
NES,1988.0,Platform,Nintendo,9.54
X360,2013.0,Action,Take-Two Interactive,9.63
PS2,2002.0,Action,Take-Two Interactive,8.41
GBA,2002.0,Role-Playing,Nintendo,6.06
DS,2010.0,Role-Playing,Nintendo,5.57
DS,2005.0,Puzzle,Nintendo,3.44
PS2,2001.0,Racing,Sony Computer Entertainment,6.85
X360,2011.0,Shooter,Activision,9.03
GB,1998.0,Role-Playing,Nintendo,5.89
X360,2010.0,Shooter,Activision,9.67
3DS,2013.0,Role-Playing,Nintendo,5.17
PS4,2015.0,Shooter,Activision,5.77
PS3,2012.0,Shooter,Activision,4.99
X360,2012.0,Shooter,Activision,8.25
X360,2009.0,Shooter,Activision,8.52
PS3,2011.0,Shooter,Activision,5.54
PS2,2001.0,Action,Take-Two Interactive,6.99
Wii,2008.0,Fighting,Nintendo,6.75
PS3,2010.0,Shooter,Activision,5.98
DS,2005.0,Simulation,Nintendo,2.55
3DS,2011.0,Racing,Nintendo,4.74
X360,2007.0,Shooter,Microsoft Game Studios,7.97
PS4,2014.0,Action,Take-Two Interactive,3.8
DS,2009.0,Action,Nintendo,4.4
N64,1996.0,Platform,Nintendo,6.91
PS2,2004.0,Racing,Sony Computer Entertainment,3.01
Wii,2007.0,Platform,Nintendo,6.16
3DS,2014.0,Role-Playing,Nintendo,4.23
GB,1992.0,Adventure,Nintendo,6.16
X360,2008.0,Action,Take-Two Interactive,6.76
PS,1997.0,Racing,Sony Computer Entertainment,4.02
3DS,2011.0,Platform,Nintendo,4.89
PS3,2010.0,Racing,Sony Computer Entertainment,2.96
PS3,2009.0,Shooter,Activision,4.99
PS3,2008.0,Action,Take-Two Interactive,4.76
SNES,1993.0,Platform,Nintendo,5.99
GBA,2004.0,Role-Playing,Nintendo,4.34
DS,2004.0,Platform,Nintendo,5.08
Wii,2011.0,Misc,Ubisoft,6.05
X360,2013.0,Shooter,Activision,6.72
X360,2010.0,Shooter,Microsoft Game Studios,7.03
N64,1996.0,Racing,Nintendo,5.55
3DS,2012.0,Platform,Nintendo,3.66
X360,2012.0,Shooter,Microsoft Game Studios,6.63
PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01
PS3,2013.0,Shooter,Activision,4.09
Wii,2010.0,Misc,Ubisoft,5.84
PS,1999.0,Racing,Sony Computer Entertainment,3.88
X360,2007.0,Shooter,Activision,5.91
SNES,1994.0,Platform,Nintendo,4.36
X360,2013.0,Misc,Microsoft Game Studios,5.58
3DS,2012.0,Simulation,Nintendo,2.01
DS,2007.0,Misc,Nintendo,4.46
X360,2011.0,Role-Playing,Bethesda Softworks,5.03
SNES,1992.0,Racing,Nintendo,3.54
PS4,2015.0,Sports,Electronic Arts,1.11
Wii,2010.0,Misc,Nintendo,1.79
XB,2004.0,Shooter,Microsoft Game Studios,6.82
Wii,2007.0,Misc,Nintendo,3.81
DS,2012.0,Role-Playing,Nintendo,2.91
PS3,2012.0,Action,Electronic Arts,1.06
PC,2009.0,Simulation,Electronic Arts,0.98
N64,1997.0,Shooter,Nintendo,5.8
Wii,2007.0,Sports,Sega,2.58
PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91
PS,1999.0,Role-Playing,SquareSoft,2.28
DS,2008.0,Role-Playing,Nintendo,2.82
2600,1982.0,Puzzle,Atari,7.28
PSP,2005.0,Action,Take-Two Interactive,2.9
Wii,2010.0,Platform,Nintendo,3.66
PS4,2015.0,Shooter,Electronic Arts,2.93
PS4,2014.0,Shooter,Activision,2.8
N64,1998.0,Action,Nintendo,4.1
PS,1997.0,Platform,Sony Computer Entertainment,3.78
NES,1988.0,Platform,Nintendo,5.39
3DS,2014.0,Fighting,Nintendo,3.24
X360,2008.0,Shooter,Activision,4.79
X360,2011.0,Shooter,Electronic Arts,4.46
Wii,2006.0,Action,Nintendo,3.83
XOne,2015.0,Shooter,Activision,4.52
Wii,2009.0,Misc,Ubisoft,3.51
PS3,2011.0,Shooter,Electronic Arts,2.85
PS2,2003.0,Racing,Electronic Arts,3.27
PS,1998.0,Fighting,Sony Computer Entertainment,3.27
PS,1998.0,Platform,Sony Computer Entertainment,3.68
GC,2001.0,Fighting,Nintendo,4.41
WiiU,2014.0,Racing,Nintendo,3.13
PS4,2015.0,Role-Playing,Bethesda Softworks,2.47
GC,2003.0,Racing,Nintendo,4.12
Wii,2012.0,Misc,Ubisoft,4.14
PS3,2013.0,Sports,Electronic Arts,0.78
PS2,2004.0,Racing,Electronic Arts,2.71
PS2,2002.0,Shooter,Electronic Arts,2.93
PS3,2011.0,Action,Sony Computer Entertainment,2.77
PS,1996.0,Platform,Sony Computer Entertainment,3.23
Wii,2010.0,Sports,505 Games,3.5
X360,2008.0,Shooter,Microsoft Game Studios,4.15
PS3,2009.0,Action,Sony Computer Entertainment,3.27
PS3,2007.0,Shooter,Activision,3.1
PS3,2011.0,Sports,Electronic Arts,0.84
DS,2005.0,Misc,Nintendo,1.67
PS3,2010.0,Action,Take-Two Interactive,2.79
PS4,2014.0,Sports,Electronic Arts,0.79
Wii,2010.0,Platform,Nintendo,3.25
PS3,2011.0,Role-Playing,Bethesda Softworks,2.55
NES,1986.0,Action,Nintendo,3.74
PS3,2012.0,Action,Ubisoft,2.64
XB,2001.0,Shooter,Microsoft Game Studios,4.98
GBA,2004.0,Role-Playing,Nintendo,2.57
PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64
GB,2000.0,Role-Playing,Nintendo,2.55
X360,2009.0,Shooter,Microsoft Game Studios,4.34
X360,2010.0,Action,Take-Two Interactive,3.7
GC,2002.0,Platform,Nintendo,4.01
SNES,1992.0,Fighting,Capcom,2.47
PC,2004.0,Role-Playing,Activision,0.07
PS,1999.0,Action,GT Interactive,3.11
X360,2010.0,Sports,Microsoft Game Studios,3.92
X360,2011.0,Shooter,Microsoft Game Studios,4.05
X360,2006.0,Shooter,Microsoft Game Studios,3.54
PS2,2001.0,Action,Konami Digital Entertainment,2.45
GEN,1992.0,Platform,Sega,4.47
PS3,2008.0,Action,Konami Digital Entertainment,2.63
PS,1998.0,Action,Konami Digital Entertainment,3.18
PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41
PS2,2006.0,Role-Playing,Square Enix,1.88
PS3,2008.0,Platform,Sony Computer Entertainment,2.8
DS,2009.0,Role-Playing,Nintendo,0.66
Wii,2007.0,Action,LucasArts,3.66
PS,1998.0,Action,Virgin Interactive,1.88
PS,1996.0,Fighting,Sony Computer Entertainment,2.26
DS,2006.0,Simulation,505 Games,3.13
PS4,2014.0,Shooter,Activision,2.49
NES,1988.0,Puzzle,Nintendo,2.97
PS3,2009.0,Action,Ubisoft,2.54
N64,1999.0,Fighting,Nintendo,2.95
X360,2007.0,Adventure,Ubisoft,3.28
PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7
X360,2009.0,Racing,Microsoft Game Studios,2.99
PSP,2008.0,Role-Playing,Capcom,0.47
GBA,2001.0,Platform,Nintendo,3.14
GBA,2001.0,Racing,Nintendo,2.62
GBA,2001.0,Platform,Nintendo,3.21
N64,1999.0,Strategy,Nintendo,3.18
PS3,2008.0,Shooter,Activision,2.72
PS2,2001.0,Platform,Universal Interactive,2.07
PS3,2014.0,Misc,Sony Computer Entertainment,1.97
